RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
1636,Peggy Sue Owens,Michael (Mike) Sands,Jamie Dunphy,Doug Clove,Joe Allen,Joe Furi
1667,Steph Routh,,,,,
1673,Noah Ernst,Loretta Smith,Jamie Dunphy,Steph Routh,Candace Avalos,
1702,Candace Avalos,Steph Routh,,,,
1715,Loretta Smith,Doug Clove,Terrence Hayes,Candace Avalos,Timur Ender,Noah Ernst
1729,Cayle Tern,Steph Routh,Michael (Mike) Sands,Write-in-120,David Linn,Thomas Shervey
1733,Peggy Sue Owens,Candace Avalos,Loretta Smith,,,
1742,,,,,,
1762,Loretta Smith,,,,,
1812,Loretta Smith,Jamie Dunphy,Terrence Hayes,Steph Routh,Timur Ender,
1817,Candace Avalos,,,,,
1820,Timur Ender,David Linn,Joe Furi,Deian Salazar,Terrence Hayes,Write-in-120
1822,Michael (Mike) Sands,Loretta Smith,Deian Salazar,,,
1827,Loretta Smith,Candace Avalos,Noah Ernst,Deian Salazar,,
1828,Loretta Smith,Steph Routh,Candace Avalos,Timur Ender,Noah Ernst,
1829,Michael (Mike) Sands,Terrence Hayes,Steph Routh,,,
1835,Loretta Smith,Candace Avalos,Thomas Shervey,,,
1841,Noah Ernst,Timur Ender,Steph Routh,Candace Avalos,David Linn,Loretta Smith
1847,Jamie Dunphy,Terrence Hayes,Loretta Smith,,,
1851,Loretta Smith,Jamie Dunphy,Timur Ender,Deian Salazar,Terrence Hayes,Michael (Mike) Sands
1854,David Linn,Joe Allen,,,,
1870,,,,,,
1873,Candace Avalos,Joe Allen,,,,
1878,Doug Clove,Deian Salazar,Joe Allen,Noah Ernst,Steph Routh,Joe Furi
1880,Noah Ernst,Candace Avalos,David Linn,,,
1881,Loretta Smith,Terrence Hayes,Noah Ernst,David Linn,Steph Routh,Timur Ender
1882,Candace Avalos,Steph Routh,Noah Ernst,Doug Clove,Michael (Mike) Sands,Loretta Smith
1883,Loretta Smith,Timur Ender,,,,
1885,Steph Routh,Deian Salazar,Cayle Tern,Terrence Hayes,Timur Ender,Peggy Sue Owens
1886,Candace Avalos,Loretta Smith,Jamie Dunphy,,,
1889,Joe Allen,Doug Clove,Loretta Smith,Terrence Hayes,Noah Ernst,Michael (Mike) Sands
1890,Cayle Tern,Timur Ender,Peggy Sue Owens,Doug Clove,Noah Ernst,Joe Allen
1891,Steph Routh,Loretta Smith,Candace Avalos,Peggy Sue Owens,Thomas Shervey,Deian Salazar
1892,Loretta Smith,,,,,
1895,Noah Ernst,Doug Clove,Terrence Hayes,,,
1896,Loretta Smith,,,,,
1898,Noah Ernst,Doug Clove,Terrence Hayes,,,
1900,Steph Routh,Jamie Dunphy,Timur Ender,Candace Avalos,Cayle Tern,Joe Furi
1901,Timur Ender,Loretta Smith,Michael (Mike) Sands,David Linn,Candace Avalos,Joe Allen
1905,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,,
1936,Doug Clove,Deian Salazar,Joe Allen,Noah Ernst,Steph Routh,Joe Furi
1967,Peggy Sue Owens,Timur Ender,Candace Avalos,Joe Allen,Steph Routh,
1993,Write-in-120,Write-in-121,Write-in-122,,,
2005,Joe Allen,,,,,
2016,Timur Ender,Candace Avalos,Loretta Smith,,,
2037,Candace Avalos,Cayle Tern,Timur Ender,,,
2039,Michael (Mike) Sands,,,,,
2040,Loretta Smith,Joe Allen,Michael (Mike) Sands,Jamie Dunphy,Doug Clove,Noah Ernst
2041,Candace Avalos,Michael (Mike) Sands,Loretta Smith,Terrence Hayes,Jamie Dunphy,Timur Ender
2049,Joe Furi,David Linn,Loretta Smith,,,
2051,Joe Allen,Noah Ernst,Doug Clove,Michael (Mike) Sands,Thomas Shervey,Terrence Hayes
2084,Noah Ernst,Joe Furi,Terrence Hayes,Doug Clove,,
2087,Timur Ender,,,,,
2088,Loretta Smith,Noah Ernst,,,,
2089,Loretta Smith,Steph Routh,Candace Avalos,Noah Ernst,Terrence Hayes,Timur Ender
2091,Michael (Mike) Sands,Joe Allen,Cayle Tern,Joe Furi,David Linn,Loretta Smith
2136,Loretta Smith,,,,,
2153,Candace Avalos,Steph Routh,,,,
2154,Joe Furi,Joe Allen,Candace Avalos,Peggy Sue Owens,Thomas Shervey,Jamie Dunphy
2155,Candace Avalos,Timur Ender,Steph Routh,,,
2156,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Joe Allen,Terrence Hayes
2158,,,,,,
2159,Noah Ernst,Doug Clove,Joe Allen,,,
2160,Timur Ender,Loretta Smith,David Linn,,,
2162,Terrence Hayes,,,,,
2164,Timur Ender,Candace Avalos,Jamie Dunphy,Steph Routh,Cayle Tern,Loretta Smith
2167,Loretta Smith,,,,,
2168,Michael (Mike) Sands,,,,,
2169,Noah Ernst,Timur Ender,David Linn,Michael (Mike) Sands,Thomas Shervey,Peggy Sue Owens
2185,Loretta Smith,,,,,
2186,Joe Furi,,,,,
2188,Loretta Smith,Terrence Hayes,Jamie Dunphy,Steph Routh,Candace Avalos,
2189,Jamie Dunphy,Michael (Mike) Sands,Candace Avalos,,,
2190,Timur Ender,Candace Avalos,,,,
2192,Noah Ernst,Jamie Dunphy,Michael (Mike) Sands,Steph Routh,Thomas Shervey,
2202,Jamie Dunphy,Steph Routh,Timur Ender,Candace Avalos,,
2204,Peggy Sue Owens,Joe Allen,Loretta Smith,David Linn,Michael (Mike) Sands,
2206,Noah Ernst,Joe Furi,Terrence Hayes,Doug Clove,,
2207,Terrence Hayes,Loretta Smith,Jamie Dunphy,Deian Salazar,Candace Avalos,
2217,Timur Ender,,,,,
2218,Candace Avalos,Steph Routh,Loretta Smith,Peggy Sue Owens,Jamie Dunphy,Cayle Tern
2221,Terrence Hayes,Noah Ernst,Loretta Smith,Candace Avalos,,
2234,Peggy Sue Owens,Candace Avalos,Jamie Dunphy,Loretta Smith,Steph Routh,Cayle Tern
2242,Write-in-120,Write-in-121,Write-in-122,,,
2256,Michael (Mike) Sands,Loretta Smith,Candace Avalos,Timur Ender,Cayle Tern,Jamie Dunphy
2258,Joe Allen,Terrence Hayes,,,,
2263,Joe Furi,,,,,
2268,Timur Ender,Noah Ernst,Doug Clove,Loretta Smith,Steph Routh,Thomas Shervey
2278,Jamie Dunphy,Steph Routh,Candace Avalos,Noah Ernst,,
2297,Steph Routh,Candace Avalos,Timur Ender,David Linn,Noah Ernst,
2303,Loretta Smith,,,,,
2326,Deian Salazar,Noah Ernst,Steph Routh,Candace Avalos,Joe Allen,
2339,Timur Ender,Jamie Dunphy,Loretta Smith,Candace Avalos,Terrence Hayes,
2346,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
2348,Terrence Hayes,Noah Ernst,Timur Ender,,,
2352,Loretta Smith,Steph Routh,,,,
2353,Candace Avalos,Steph Routh,David Linn,,,
2354,Terrence Hayes,Loretta Smith,,,,
2355,Timur Ender,Candace Avalos,Steph Routh,Loretta Smith,Terrence Hayes,Jamie Dunphy
2359,Joe Allen,Joe Furi,Timur Ender,Noah Ernst,Loretta Smith,Peggy Sue Owens
2360,Timur Ender,,,,,
2384,Candace Avalos,Jamie Dunphy,Loretta Smith,Timur Ender,Steph Routh,
2408,Joe Furi,Doug Clove,Michael (Mike) Sands,Steph Routh,Terrence Hayes,Timur Ender
2409,Joe Allen,Doug Clove,Thomas Shervey,Joe Furi,Michael (Mike) Sands,Jamie Dunphy
2411,Timur Ender,Noah Ernst,David Linn,,,
2412,Candace Avalos,Steph Routh,Jamie Dunphy,Deian Salazar,Timur Ender,
2413,Thomas Shervey,Terrence Hayes,,,,
2420,Candace Avalos,Timur Ender,Steph Routh,Cayle Tern,Jamie Dunphy,David Linn
2429,Loretta Smith,Candace Avalos,Peggy Sue Owens,Michael (Mike) Sands,David Linn,Noah Ernst
2437,Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,Timur Ender,
2438,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
2440,Terrence Hayes,Timur Ender,Cayle Tern,Steph Routh,Thomas Shervey,Candace Avalos
2445,Terrence Hayes,Candace Avalos,Joe Allen,,,
2447,Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
2455,Terrence Hayes,Loretta Smith,Steph Routh,Timur Ender,Candace Avalos,Noah Ernst
2475,Candace Avalos,Cayle Tern,,,,
2476,Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,Deian Salazar,
2479,Loretta Smith,Jamie Dunphy,,,,
2491,Terrence Hayes,Noah Ernst,Steph Routh,,,
2493,Candace Avalos,Timur Ender,Noah Ernst,,,
2500,Michael (Mike) Sands,Deian Salazar,Peggy Sue Owens,Jamie Dunphy,Loretta Smith,Candace Avalos
2503,Candace Avalos,Deian Salazar,,,,
2504,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
2511,Joe Allen,Peggy Sue Owens,Joe Furi,Thomas Shervey,Jamie Dunphy,David Linn
2513,Joe Allen,Loretta Smith,Timur Ender,Doug Clove,Jamie Dunphy,Steph Routh
2520,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,,
2549,Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,Cayle Tern,David Linn
2550,Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,Cayle Tern,David Linn
2560,Terrence Hayes,Noah Ernst,Steph Routh,Doug Clove,Joe Allen,Thomas Shervey
2561,Steph Routh,Noah Ernst,Jamie Dunphy,David Linn,Terrence Hayes,Candace Avalos
2572,Loretta Smith,Steph Routh,Jamie Dunphy,Cayle Tern,Candace Avalos,Timur Ender
2590,Loretta Smith,Steph Routh,Jamie Dunphy,,,
2650,Jamie Dunphy,Doug Clove,Timur Ender,Noah Ernst,Deian Salazar,
2670,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,,
2674,Timur Ender,Steph Routh,Jamie Dunphy,Candace Avalos,Terrence Hayes,Deian Salazar
2682,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Terrence Hayes,Cayle Tern
2699,Peggy Sue Owens,Steph Routh,Cayle Tern,Candace Avalos,David Linn,Doug Clove
2702,Loretta Smith,,,,,
2703,Doug Clove,Joe Furi,Candace Avalos,David Linn,,
2722,Jamie Dunphy,,,,,
2726,Noah Ernst,Loretta Smith,Terrence Hayes,Joe Allen,Steph Routh,Doug Clove
2727,Michael (Mike) Sands,Jamie Dunphy,Loretta Smith,,,
2730,Timur Ender,Loretta Smith,,,,
2731,David Linn,,,,,
2732,Timur Ender,Loretta Smith,,,,
2734,Candace Avalos,David Linn,Doug Clove,Michael (Mike) Sands,,
2736,Terrence Hayes,Michael (Mike) Sands,Loretta Smith,Steph Routh,Noah Ernst,Candace Avalos
2737,Jamie Dunphy,Steph Routh,Candace Avalos,Deian Salazar,Noah Ernst,Michael (Mike) Sands
2739,Noah Ernst,Joe Allen,David Linn,Doug Clove,Joe Furi,Michael (Mike) Sands
2741,Terrence Hayes,Candace Avalos,Doug Clove,David Linn,Thomas Shervey,Steph Routh
2745,Write-in-120,Write-in-121,Write-in-122,,,
2747,,,,,,
2751,Jamie Dunphy,Timur Ender,Candace Avalos,Steph Routh,Loretta Smith,Terrence Hayes
2780,Doug Clove,Loretta Smith,,,,
2783,Joe Allen,Joe Furi,Peggy Sue Owens,Steph Routh,Loretta Smith,Deian Salazar
2791,Jamie Dunphy,,,,,
2793,Joe Allen,Thomas Shervey,Jamie Dunphy,Joe Furi,Cayle Tern,Doug Clove
2797,Cayle Tern,Joe Furi,Candace Avalos,Michael (Mike) Sands,Timur Ender,Thomas Shervey
2799,Doug Clove,Noah Ernst,Terrence Hayes,Joe Furi,Jamie Dunphy,
2813,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
2822,Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh,Terrence Hayes,Loretta Smith
2840,Steph Routh,Jamie Dunphy,Timur Ender,Candace Avalos,,
2841,Loretta Smith,,,,,
2859,Timur Ender,Noah Ernst,Peggy Sue Owens,,,
2878,Doug Clove,Loretta Smith,,,,
2892,Timur Ender,Steph Routh,Terrence Hayes,Jamie Dunphy,Candace Avalos,Loretta Smith
2904,Noah Ernst,Deian Salazar,Loretta Smith,,,
2909,Steph Routh,Timur Ender,Candace Avalos,Jamie Dunphy,Loretta Smith,Terrence Hayes
2921,Loretta Smith,Terrence Hayes,Noah Ernst,Candace Avalos,Jamie Dunphy,Peggy Sue Owens
2929,Loretta Smith,Candace Avalos,Steph Routh,Terrence Hayes,Jamie Dunphy,Deian Salazar
2930,Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,David Linn,Joe Furi
2934,Jamie Dunphy,Candace Avalos,Michael (Mike) Sands,Joe Furi,Terrence Hayes,Cayle Tern
2936,Loretta Smith,Steph Routh,Timur Ender,David Linn,Deian Salazar,
2993,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
2995,Loretta Smith,Peggy Sue Owens,Joe Furi,Candace Avalos,Steph Routh,Deian Salazar
3043,Joe Allen,Doug Clove,Michael (Mike) Sands,Terrence Hayes,Joe Furi,Thomas Shervey
3069,Steph Routh,,,,,
3073,Doug Clove,Noah Ernst,Joe Allen,Joe Furi,Candace Avalos,Timur Ender
3074,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,,
3089,Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,Peggy Sue Owens
3098,Doug Clove,Thomas Shervey,Peggy Sue Owens,Candace Avalos,Jamie Dunphy,David Linn
3099,Michael (Mike) Sands,Noah Ernst,Peggy Sue Owens,,,
3105,Steph Routh,Jamie Dunphy,Loretta Smith,,,
3124,Timur Ender,,,,,
3126,Loretta Smith,Candace Avalos,Terrence Hayes,Steph Routh,Jamie Dunphy,Michael (Mike) Sands
3128,Deian Salazar,,,,,
3142,Jamie Dunphy,Candace Avalos,Steph Routh,Timur Ender,Loretta Smith,Joe Furi
3167,Noah Ernst,,,,,
3168,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,,
3169,David Linn,Deian Salazar,Steph Routh,Loretta Smith,Thomas Shervey,Doug Clove
3170,Doug Clove,Joe Allen,David Linn,Thomas Shervey,Jamie Dunphy,Noah Ernst
3172,Timur Ender,Candace Avalos,Deian Salazar,,,
3174,Loretta Smith,Terrence Hayes,Deian Salazar,Noah Ernst,Timur Ender,Candace Avalos
3175,Steph Routh,Loretta Smith,Terrence Hayes,Jamie Dunphy,Candace Avalos,Timur Ender
3181,Loretta Smith,Timur Ender,David Linn,Jamie Dunphy,Cayle Tern,Deian Salazar
3203,Noah Ernst,Doug Clove,Timur Ender,Jamie Dunphy,Terrence Hayes,Loretta Smith
3204,Terrence Hayes,Candace Avalos,Doug Clove,David Linn,Thomas Shervey,Steph Routh
3207,Steph Routh,Loretta Smith,Terrence Hayes,David Linn,Timur Ender,Candace Avalos
3208,Jamie Dunphy,,,,,
3214,Michael (Mike) Sands,Noah Ernst,David Linn,Doug Clove,Terrence Hayes,Peggy Sue Owens
3215,Steph Routh,Terrence Hayes,Thomas Shervey,Jamie Dunphy,Michael (Mike) Sands,Doug Clove
3216,Loretta Smith,Peggy Sue Owens,Candace Avalos,Jamie Dunphy,Write-in-120,
3219,Michael (Mike) Sands,,,,,
3227,,,,,,
3228,Peggy Sue Owens,Joe Allen,Doug Clove,Deian Salazar,Terrence Hayes,Write-in-122
3229,Terrence Hayes,Candace Avalos,Loretta Smith,Noah Ernst,Jamie Dunphy,Steph Routh
3231,Noah Ernst,,,,,
3261,Steph Routh,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,
3286,Doug Clove,Noah Ernst,Peggy Sue Owens,Timur Ender,Terrence Hayes,Candace Avalos
3292,,,,,,
3298,Timur Ender,Doug Clove,Noah Ernst,Steph Routh,Thomas Shervey,Loretta Smith
3299,Joe Allen,Candace Avalos,Noah Ernst,Joe Furi,Michael (Mike) Sands,Doug Clove
3302,Noah Ernst,Timur Ender,Doug Clove,Loretta Smith,Steph Routh,Candace Avalos
3305,Doug Clove,Thomas Shervey,Peggy Sue Owens,Candace Avalos,Jamie Dunphy,David Linn
3307,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Timur Ender
3309,Doug Clove,,,,,
3320,Noah Ernst,Joe Allen,David Linn,,,
3324,Peggy Sue Owens,Loretta Smith,Thomas Shervey,Deian Salazar,Michael (Mike) Sands,Joe Allen
3327,Jamie Dunphy,,,,,
3329,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
3330,Steph Routh,Deian Salazar,Cayle Tern,Candace Avalos,Loretta Smith,Jamie Dunphy
3334,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,Loretta Smith,Cayle Tern
3336,Timur Ender,,,,,
3347,Candace Avalos,Loretta Smith,Steph Routh,,,
3350,Doug Clove,Loretta Smith,Steph Routh,Noah Ernst,Joe Allen,Candace Avalos
3352,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
3355,Steph Routh,Loretta Smith,,,,
3359,Timur Ender,Joe Allen,Michael (Mike) Sands,Doug Clove,Thomas Shervey,Steph Routh
3362,Peggy Sue Owens,Noah Ernst,Timur Ender,David Linn,Cayle Tern,Loretta Smith
3364,Steph Routh,,,,,
3366,Loretta Smith,Peggy Sue Owens,Candace Avalos,,,
3372,David Linn,Peggy Sue Owens,Timur Ender,Cayle Tern,Michael (Mike) Sands,Thomas Shervey
3373,Joe Allen,,,,,
3375,David Linn,Deian Salazar,Steph Routh,Loretta Smith,Thomas Shervey,Doug Clove
3376,Thomas Shervey,Loretta Smith,Jamie Dunphy,Joe Furi,Cayle Tern,Noah Ernst
3387,Candace Avalos,Steph Routh,Noah Ernst,,,
3389,Peggy Sue Owens,Doug Clove,Terrence Hayes,Steph Routh,David Linn,Loretta Smith
3398,Steph Routh,Jamie Dunphy,Timur Ender,Candace Avalos,,
3399,Timur Ender,Noah Ernst,,,,
3404,Timur Ender,Candace Avalos,Steph Routh,,,
3420,Joe Allen,Peggy Sue Owens,Joe Furi,Thomas Shervey,Jamie Dunphy,David Linn
3439,Loretta Smith,Candace Avalos,Cayle Tern,,,
3442,Loretta Smith,Joe Allen,Michael (Mike) Sands,David Linn,Terrence Hayes,Noah Ernst
3445,Joe Allen,Joe Furi,Noah Ernst,Thomas Shervey,,
3447,Steph Routh,,,,,
3448,Peggy Sue Owens,,,,,
3450,,,,,,
3451,Steph Routh,Jamie Dunphy,Candace Avalos,Noah Ernst,Michael (Mike) Sands,Joe Allen
3455,Candace Avalos,Timur Ender,Jamie Dunphy,,,
3456,Candace Avalos,Jamie Dunphy,Cayle Tern,Timur Ender,Steph Routh,David Linn
3457,Steph Routh,Candace Avalos,Jamie Dunphy,Timur Ender,Cayle Tern,David Linn
3459,Terrence Hayes,,,,,
3465,Noah Ernst,Jamie Dunphy,Michael (Mike) Sands,Doug Clove,Cayle Tern,Deian Salazar
3472,Candace Avalos,Terrence Hayes,Steph Routh,Jamie Dunphy,Timur Ender,Joe Furi
3474,Timur Ender,Steph Routh,Candace Avalos,,,
3475,Doug Clove,,,,,
3476,Steph Routh,Jamie Dunphy,Loretta Smith,Deian Salazar,Timur Ender,Michael (Mike) Sands
3478,Michael (Mike) Sands,David Linn,Timur Ender,Loretta Smith,Steph Routh,
3479,Doug Clove,,,,,
3480,Terrence Hayes,Loretta Smith,Jamie Dunphy,Deian Salazar,Candace Avalos,
3486,Terrence Hayes,Joe Allen,Candace Avalos,Thomas Shervey,Loretta Smith,Steph Routh
3490,Peggy Sue Owens,Candace Avalos,Loretta Smith,Steph Routh,Jamie Dunphy,Cayle Tern
3491,Loretta Smith,Noah Ernst,Steph Routh,Timur Ender,Jamie Dunphy,Doug Clove
3492,Loretta Smith,David Linn,Jamie Dunphy,Timur Ender,Terrence Hayes,Steph Routh
3493,Candace Avalos,Peggy Sue Owens,Cayle Tern,Loretta Smith,Steph Routh,
3494,Candace Avalos,Steph Routh,Terrence Hayes,,,
3495,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
3497,Loretta Smith,,,,,
3507,Candace Avalos,Peggy Sue Owens,Loretta Smith,Steph Routh,Deian Salazar,Jamie Dunphy
3508,Michael (Mike) Sands,Joe Furi,Doug Clove,Cayle Tern,David Linn,Joe Allen
3511,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
3515,Jamie Dunphy,Steph Routh,David Linn,Terrence Hayes,Thomas Shervey,Candace Avalos
3544,Loretta Smith,Steph Routh,Candace Avalos,Noah Ernst,Timur Ender,Terrence Hayes
