Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
Candace Avalos,Timur Ender,Loretta Smith,Steph Routh,Jamie Dunphy,
Candace Avalos,Cayle Tern,David Linn,Steph Routh,Jamie Dunphy,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Noah Ernst,Cayle Tern,Joe Furi,Jamie Dunphy,Joe Allen,Candace Avalos
Terrence Hayes,Loretta Smith,Candace Avalos,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Cayle Tern,
Terrence Hayes,Loretta Smith,,,,
Loretta Smith,,,,,
Michael (Mike) Sands,Candace Avalos,Peggy Sue Owens,Loretta Smith,Jamie Dunphy,Cayle Tern
Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,Loretta Smith,
Steph Routh,Timur Ender,Candace Avalos,Terrence Hayes,Loretta Smith,
Terrence Hayes,Loretta Smith,Michael (Mike) Sands,Joe Allen,Candace Avalos,Peggy Sue Owens
Candace Avalos,Loretta Smith,Timur Ender,Steph Routh,Cayle Tern,Terrence Hayes
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Noah Ernst,Terrence Hayes,David Linn,Candace Avalos,Deian Salazar,Jamie Dunphy
Noah Ernst,Joe Furi,Terrence Hayes,Doug Clove,,
Candace Avalos,David Linn,Timur Ender,Terrence Hayes,Steph Routh,Noah Ernst
Timur Ender,Doug Clove,Cayle Tern,Deian Salazar,Thomas Shervey,Candace Avalos
Candace Avalos,Deian Salazar,Doug Clove,Joe Allen,Noah Ernst,Joe Furi
Noah Ernst,Candace Avalos,Joe Allen,David Linn,Doug Clove,Michael (Mike) Sands
Jamie Dunphy,Steph Routh,Doug Clove,Timur Ender,Terrence Hayes,Loretta Smith
Terrence Hayes,Timur Ender,Cayle Tern,Loretta Smith,Candace Avalos,
Noah Ernst,,,,,
Loretta Smith,Candace Avalos,Terrence Hayes,Deian Salazar,Timur Ender,Cayle Tern
Deian Salazar,Loretta Smith,Candace Avalos,,,
Joe Furi,,,,,
Cayle Tern,Timur Ender,Deian Salazar,Jamie Dunphy,Loretta Smith,Candace Avalos
Doug Clove,Cayle Tern,David Linn,Deian Salazar,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Candace Avalos,Terrence Hayes,Steph Routh,Loretta Smith,Jamie Dunphy,David Linn
Loretta Smith,,,,,
Steph Routh,Jamie Dunphy,Candace Avalos,,,
Loretta Smith,Terrence Hayes,Noah Ernst,Cayle Tern,,
Cayle Tern,Steph Routh,Joe Allen,,,
Peggy Sue Owens,Loretta Smith,Jamie Dunphy,,,
David Linn,Michael (Mike) Sands,Jamie Dunphy,Joe Allen,Joe Furi,Noah Ernst
Noah Ernst,,,,,
Noah Ernst,Loretta Smith,Terrence Hayes,,,
Loretta Smith,,,,,
Candace Avalos,Steph Routh,Loretta Smith,Terrence Hayes,Jamie Dunphy,Timur Ender
Candace Avalos,Timur Ender,Noah Ernst,Doug Clove,Terrence Hayes,Jamie Dunphy
Doug Clove,Noah Ernst,,,,
Doug Clove,Noah Ernst,Jamie Dunphy,,,
Noah Ernst,,,,,
Noah Ernst,Jamie Dunphy,Timur Ender,Terrence Hayes,Steph Routh,
Terrence Hayes,Noah Ernst,Loretta Smith,,,
Terrence Hayes,Jamie Dunphy,,,,
Candace Avalos,Loretta Smith,Timur Ender,Noah Ernst,Steph Routh,Jamie Dunphy
Jamie Dunphy,Peggy Sue Owens,David Linn,Loretta Smith,Candace Avalos,Terrence Hayes
Jamie Dunphy,,,,,
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,,
Deian Salazar,Loretta Smith,Terrence Hayes,Jamie Dunphy,Cayle Tern,Steph Routh
Steph Routh,,,,,
Loretta Smith,Michael (Mike) Sands,Candace Avalos,,,
Loretta Smith,Terrence Hayes,Candace Avalos,Joe Allen,,
Candace Avalos,David Linn,Doug Clove,,,
Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,,
Doug Clove,Noah Ernst,Joe Allen,Thomas Shervey,Write-in-122,Peggy Sue Owens
Doug Clove,Thomas Shervey,Deian Salazar,Candace Avalos,David Linn,Joe Furi
Steph Routh,Candace Avalos,Jamie Dunphy,Cayle Tern,Timur Ender,David Linn
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Candace Avalos,Steph Routh,Jamie Dunphy,Cayle Tern,Timur Ender,Michael (Mike) Sands
Candace Avalos,Timur Ender,Terrence Hayes,Cayle Tern,Jamie Dunphy,Steph Routh
Noah Ernst,Terrence Hayes,Loretta Smith,,,
Loretta Smith,Terrence Hayes,Noah Ernst,Jamie Dunphy,,
Timur Ender,Loretta Smith,Candace Avalos,,,
Candace Avalos,Loretta Smith,David Linn,Jamie Dunphy,,
Timur Ender,Candace Avalos,Jamie Dunphy,Steph Routh,,
Michael (Mike) Sands,,,,,
Candace Avalos,Jamie Dunphy,Steph Routh,Noah Ernst,,
Candace Avalos,Loretta Smith,Cayle Tern,Noah Ernst,Joe Allen,Thomas Shervey
Doug Clove,Joe Furi,Loretta Smith,,,
Loretta Smith,Steph Routh,Terrence Hayes,,,
Jamie Dunphy,Write-in-120,Thomas Shervey,,,
Terrence Hayes,Loretta Smith,Noah Ernst,,,
Terrence Hayes,,,,,
Noah Ernst,Doug Clove,Candace Avalos,Cayle Tern,Deian Salazar,Loretta Smith
Candace Avalos,Steph Routh,Timur Ender,,,
Loretta Smith,,,,,
Loretta Smith,Terrence Hayes,,,,
Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,Write-in-120
Loretta Smith,Jamie Dunphy,Timur Ender,Steph Routh,,
Noah Ernst,,,,,
Timur Ender,Noah Ernst,Candace Avalos,David Linn,Deian Salazar,
Terrence Hayes,Joe Allen,Loretta Smith,Jamie Dunphy,Candace Avalos,Michael (Mike) Sands
Michael (Mike) Sands,,,,,
Candace Avalos,Timur Ender,Terrence Hayes,Steph Routh,,
Cayle Tern,Noah Ernst,Doug Clove,Loretta Smith,Terrence Hayes,Deian Salazar
Terrence Hayes,Noah Ernst,,,,
Noah Ernst,Doug Clove,Loretta Smith,Terrence Hayes,,
Terrence Hayes,,,,,
Terrence Hayes,Timur Ender,,,,
Noah Ernst,Deian Salazar,Terrence Hayes,Michael (Mike) Sands,David Linn,Steph Routh
Loretta Smith,Deian Salazar,Noah Ernst,Terrence Hayes,Jamie Dunphy,Cayle Tern
Candace Avalos,Timur Ender,Noah Ernst,Joe Allen,Doug Clove,Thomas Shervey
Terrence Hayes,Loretta Smith,Jamie Dunphy,Candace Avalos,Timur Ender,
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,Loretta Smith,David Linn
Steph Routh,Joe Furi,Timur Ender,Deian Salazar,,
Steph Routh,,,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Noah Ernst,Jamie Dunphy,Michael (Mike) Sands,Doug Clove,Cayle Tern,Deian Salazar
Candace Avalos,Cayle Tern,,,,
Candace Avalos,Loretta Smith,Terrence Hayes,,,
Jamie Dunphy,,,,,
Joe Allen,Noah Ernst,Candace Avalos,Joe Furi,Doug Clove,Thomas Shervey
Deian Salazar,Thomas Shervey,Noah Ernst,,,
,,,,,
Jamie Dunphy,Steph Routh,Terrence Hayes,Cayle Tern,,
Candace Avalos,Loretta Smith,Steph Routh,David Linn,,
Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender,,
Jamie Dunphy,,,,,
Timur Ender,Jamie Dunphy,Candace Avalos,Cayle Tern,Steph Routh,Terrence Hayes
Timur Ender,Candace Avalos,Jamie Dunphy,Steph Routh,Michael (Mike) Sands,Cayle Tern
Terrence Hayes,Jamie Dunphy,Timur Ender,Steph Routh,,
Michael (Mike) Sands,Steph Routh,Thomas Shervey,Jamie Dunphy,,
Noah Ernst,Terrence Hayes,Steph Routh,Jamie Dunphy,Doug Clove,David Linn
Joe Furi,Joe Allen,Loretta Smith,,,
Noah Ernst,,,,,
Peggy Sue Owens,Noah Ernst,Joe Allen,Cayle Tern,Joe Furi,Deian Salazar
Steph Routh,,,,,
Michael (Mike) Sands,Loretta Smith,,,,
Timur Ender,David Linn,Terrence Hayes,Steph Routh,,
Jamie Dunphy,Loretta Smith,David Linn,Noah Ernst,Candace Avalos,Steph Routh
David Linn,Timur Ender,Steph Routh,,,
Loretta Smith,Candace Avalos,Steph Routh,Timur Ender,Write-in-120,
Joe Allen,Doug Clove,Thomas Shervey,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Timur Ender,Cayle Tern,Candace Avalos,Jamie Dunphy,David Linn,Deian Salazar
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,Loretta Smith
Candace Avalos,Thomas Shervey,Timur Ender,Jamie Dunphy,Michael (Mike) Sands,Steph Routh
Loretta Smith,Joe Allen,Steph Routh,Doug Clove,Peggy Sue Owens,Jamie Dunphy
Michael (Mike) Sands,Joe Allen,Joe Furi,Jamie Dunphy,Terrence Hayes,Thomas Shervey
Candace Avalos,Steph Routh,Jamie Dunphy,,,
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Loretta Smith,Terrence Hayes,Timur Ender,Steph Routh,,
Doug Clove,Deian Salazar,Michael (Mike) Sands,Thomas Shervey,Jamie Dunphy,David Linn
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,Loretta Smith,Terrence Hayes
Terrence Hayes,Loretta Smith,Noah Ernst,David Linn,Deian Salazar,Steph Routh
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Loretta Smith,,,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Loretta Smith,,,,,
Loretta Smith,Deian Salazar,David Linn,Steph Routh,Doug Clove,Terrence Hayes
Terrence Hayes,Noah Ernst,Candace Avalos,,,
Loretta Smith,Timur Ender,Steph Routh,Jamie Dunphy,Candace Avalos,Thomas Shervey
Michael (Mike) Sands,,,,,
Doug Clove,Jamie Dunphy,Loretta Smith,,,
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Terrence Hayes,Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,
Jamie Dunphy,Noah Ernst,Timur Ender,,,
Loretta Smith,,,,,
Candace Avalos,Cayle Tern,Jamie Dunphy,Timur Ender,David Linn,Steph Routh
Noah Ernst,Terrence Hayes,Doug Clove,,,
Timur Ender,David Linn,Doug Clove,Joe Furi,Deian Salazar,Steph Routh
Michael (Mike) Sands,,,,,
Jamie Dunphy,Steph Routh,Timur Ender,Candace Avalos,Loretta Smith,Cayle Tern
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,,
Joe Allen,Doug Clove,Peggy Sue Owens,Noah Ernst,David Linn,Loretta Smith
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Loretta Smith,,,,,
Doug Clove,Noah Ernst,Thomas Shervey,David Linn,Joe Allen,Steph Routh
Thomas Shervey,Cayle Tern,Candace Avalos,Terrence Hayes,Steph Routh,Jamie Dunphy
Loretta Smith,Noah Ernst,Joe Furi,Jamie Dunphy,,
Loretta Smith,,,,,
Noah Ernst,Doug Clove,Deian Salazar,Loretta Smith,Joe Allen,Terrence Hayes
Loretta Smith,Terrence Hayes,Michael (Mike) Sands,David Linn,Candace Avalos,Timur Ender
Jamie Dunphy,Steph Routh,Loretta Smith,Candace Avalos,Cayle Tern,Timur Ender
Noah Ernst,Deian Salazar,Loretta Smith,Terrence Hayes,,
Loretta Smith,Terrence Hayes,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy
Noah Ernst,Joe Furi,,,,
Noah Ernst,Doug Clove,,,,
Noah Ernst,Steph Routh,Deian Salazar,Joe Furi,Joe Allen,Cayle Tern
Peggy Sue Owens,Timur Ender,Candace Avalos,Doug Clove,,
Timur Ender,Steph Routh,Deian Salazar,Candace Avalos,Terrence Hayes,Cayle Tern
Michael (Mike) Sands,Joe Allen,Doug Clove,Jamie Dunphy,Loretta Smith,Peggy Sue Owens
Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,Jamie Dunphy,David Linn
Noah Ernst,Joe Allen,David Linn,Doug Clove,Cayle Tern,Deian Salazar
Jamie Dunphy,Steph Routh,Doug Clove,Joe Allen,David Linn,Peggy Sue Owens
Joe Furi,,,,,
Jamie Dunphy,Timur Ender,Steph Routh,,,
Noah Ernst,Doug Clove,Terrence Hayes,Steph Routh,Jamie Dunphy,Thomas Shervey
Candace Avalos,Cayle Tern,Timur Ender,,,
Noah Ernst,Joe Furi,Terrence Hayes,,,
Terrence Hayes,Jamie Dunphy,Steph Routh,Thomas Shervey,David Linn,
Jamie Dunphy,Timur Ender,Candace Avalos,David Linn,Cayle Tern,Loretta Smith
Timur Ender,Candace Avalos,Doug Clove,Deian Salazar,Terrence Hayes,David Linn
Candace Avalos,Loretta Smith,Terrence Hayes,Deian Salazar,Cayle Tern,Jamie Dunphy
Noah Ernst,Terrence Hayes,Steph Routh,,,
David Linn,Candace Avalos,Doug Clove,Michael (Mike) Sands,Loretta Smith,Thomas Shervey
Timur Ender,Terrence Hayes,Loretta Smith,Deian Salazar,,
Doug Clove,,,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Candace Avalos,Steph Routh,Terrence Hayes,Timur Ender,Loretta Smith,Jamie Dunphy
Loretta Smith,Terrence Hayes,Michael (Mike) Sands,Candace Avalos,Noah Ernst,Peggy Sue Owens
Noah Ernst,Terrence Hayes,,,,
Candace Avalos,Timur Ender,Loretta Smith,Jamie Dunphy,,
Candace Avalos,Jamie Dunphy,Timur Ender,Terrence Hayes,Steph Routh,Cayle Tern
Jamie Dunphy,Terrence Hayes,Loretta Smith,Steph Routh,Timur Ender,Candace Avalos
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Jamie Dunphy,Noah Ernst,Candace Avalos,Deian Salazar,Doug Clove,Cayle Tern
Terrence Hayes,Loretta Smith,,,,
Jamie Dunphy,,,,,
Deian Salazar,,,,,
Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,Noah Ernst,David Linn
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Peggy Sue Owens,Noah Ernst,Cayle Tern,Joe Allen,Doug Clove,Deian Salazar
Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh,Michael (Mike) Sands,Cayle Tern
Loretta Smith,Timur Ender,Steph Routh,Terrence Hayes,Jamie Dunphy,Noah Ernst
Candace Avalos,Cayle Tern,Jamie Dunphy,Deian Salazar,Loretta Smith,Peggy Sue Owens
David Linn,Michael (Mike) Sands,Jamie Dunphy,Joe Allen,Joe Furi,Noah Ernst
Joe Allen,Doug Clove,Michael (Mike) Sands,Loretta Smith,,
Peggy Sue Owens,Loretta Smith,Candace Avalos,,,
Loretta Smith,Jamie Dunphy,David Linn,Michael (Mike) Sands,Peggy Sue Owens,Thomas Shervey
Steph Routh,Jamie Dunphy,Loretta Smith,Candace Avalos,Timur Ender,Noah Ernst
Candace Avalos,,,,,
David Linn,Michael (Mike) Sands,Cayle Tern,Joe Allen,Doug Clove,
Loretta Smith,Timur Ender,Steph Routh,Michael (Mike) Sands,Jamie Dunphy,Joe Allen
Terrence Hayes,Candace Avalos,Noah Ernst,Cayle Tern,Loretta Smith,Jamie Dunphy
Joe Allen,,,,,
David Linn,Jamie Dunphy,Noah Ernst,Terrence Hayes,Timur Ender,Candace Avalos
Noah Ernst,,,,,
Steph Routh,Candace Avalos,Timur Ender,Terrence Hayes,Noah Ernst,David Linn
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Joe Furi,Deian Salazar,Loretta Smith,Candace Avalos,Jamie Dunphy,Peggy Sue Owens
Terrence Hayes,Jamie Dunphy,Candace Avalos,,,
Loretta Smith,Jamie Dunphy,,,,
Noah Ernst,Loretta Smith,Doug Clove,Terrence Hayes,Steph Routh,Deian Salazar
Timur Ender,Loretta Smith,Candace Avalos,Steph Routh,,
Terrence Hayes,Loretta Smith,Candace Avalos,Steph Routh,,
Terrence Hayes,,,,,
Timur Ender,Candace Avalos,Loretta Smith,Cayle Tern,,
Steph Routh,Loretta Smith,Timur Ender,Jamie Dunphy,Terrence Hayes,
Loretta Smith,,,,,
Steph Routh,Loretta Smith,Candace Avalos,Timur Ender,Jamie Dunphy,Michael (Mike) Sands
Timur Ender,,,,,
Candace Avalos,Cayle Tern,Terrence Hayes,Timur Ender,Steph Routh,Loretta Smith
Jamie Dunphy,David Linn,Cayle Tern,Timur Ender,Steph Routh,Candace Avalos
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,
Michael (Mike) Sands,Cayle Tern,David Linn,Noah Ernst,Timur Ender,Doug Clove
Loretta Smith,Steph Routh,Michael (Mike) Sands,David Linn,Doug Clove,Jamie Dunphy
Jamie Dunphy,David Linn,Noah Ernst,Timur Ender,Cayle Tern,Doug Clove
Loretta Smith,Timur Ender,Terrence Hayes,,,
Candace Avalos,Loretta Smith,Jamie Dunphy,Terrence Hayes,David Linn,Cayle Tern
Jamie Dunphy,Candace Avalos,Steph Routh,Timur Ender,Loretta Smith,
Loretta Smith,Deian Salazar,Candace Avalos,Terrence Hayes,Noah Ernst,
Candace Avalos,Jamie Dunphy,Steph Routh,,,
Loretta Smith,Timur Ender,Cayle Tern,Candace Avalos,,
Jamie Dunphy,,,,,
Candace Avalos,Timur Ender,Steph Routh,Loretta Smith,Terrence Hayes,Jamie Dunphy
Candace Avalos,Timur Ender,Noah Ernst,Terrence Hayes,Loretta Smith,Steph Routh
Timur Ender,Candace Avalos,David Linn,Loretta Smith,,
Terrence Hayes,Noah Ernst,Loretta Smith,Thomas Shervey,Deian Salazar,
Steph Routh,Jamie Dunphy,Timur Ender,,,
Timur Ender,Loretta Smith,David Linn,Terrence Hayes,Candace Avalos,Steph Routh
Noah Ernst,Joe Allen,Joe Furi,,,
Candace Avalos,Cayle Tern,,,,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,,
Loretta Smith,Doug Clove,Candace Avalos,Cayle Tern,Jamie Dunphy,Joe Allen
Terrence Hayes,Deian Salazar,David Linn,Steph Routh,Doug Clove,
Noah Ernst,Michael (Mike) Sands,,,,
Noah Ernst,Doug Clove,Joe Allen,,,
Candace Avalos,Steph Routh,Timur Ender,David Linn,Jamie Dunphy,
Jamie Dunphy,Steph Routh,Candace Avalos,Loretta Smith,Timur Ender,Thomas Shervey
Loretta Smith,,,,,
Candace Avalos,Steph Routh,Jamie Dunphy,Peggy Sue Owens,Doug Clove,Timur Ender
Joe Allen,Joe Furi,Cayle Tern,Steph Routh,David Linn,Timur Ender
Michael (Mike) Sands,,,,,
Candace Avalos,Steph Routh,Michael (Mike) Sands,Terrence Hayes,,
Candace Avalos,Steph Routh,Jamie Dunphy,Peggy Sue Owens,Cayle Tern,Michael (Mike) Sands
Noah Ernst,Peggy Sue Owens,Timur Ender,Candace Avalos,Joe Allen,David Linn
Michael (Mike) Sands,Jamie Dunphy,Terrence Hayes,Joe Allen,Doug Clove,Peggy Sue Owens
Jamie Dunphy,Timur Ender,Steph Routh,Deian Salazar,,
Noah Ernst,Jamie Dunphy,David Linn,Candace Avalos,Terrence Hayes,
Candace Avalos,Jamie Dunphy,Steph Routh,Thomas Shervey,Terrence Hayes,Cayle Tern
Steph Routh,Timur Ender,Candace Avalos,Terrence Hayes,,
Jamie Dunphy,Timur Ender,Candace Avalos,,,
Candace Avalos,Loretta Smith,Terrence Hayes,,,
Candace Avalos,Steph Routh,Cayle Tern,Timur Ender,,
Loretta Smith,Terrence Hayes,Candace Avalos,Jamie Dunphy,Peggy Sue Owens,Deian Salazar
Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh,Cayle Tern,Loretta Smith
Cayle Tern,Terrence Hayes,Loretta Smith,Michael (Mike) Sands,Candace Avalos,Joe Furi
Michael (Mike) Sands,Timur Ender,,,,
Joe Furi,Joe Allen,Doug Clove,,,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Loretta Smith,Terrence Hayes,Steph Routh,Candace Avalos,Cayle Tern,Doug Clove
Doug Clove,Joe Furi,David Linn,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Steph Routh,Timur Ender,Jamie Dunphy,Joe Allen,Doug Clove,Michael (Mike) Sands
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,Cayle Tern,David Linn
Steph Routh,Jamie Dunphy,Terrence Hayes,Loretta Smith,Thomas Shervey,
Loretta Smith,Terrence Hayes,Candace Avalos,Steph Routh,Deian Salazar,Jamie Dunphy
Loretta Smith,Terrence Hayes,Jamie Dunphy,Candace Avalos,Cayle Tern,Deian Salazar
Candace Avalos,Jamie Dunphy,Michael (Mike) Sands,Terrence Hayes,Cayle Tern,Timur Ender
Candace Avalos,Loretta Smith,Jamie Dunphy,Steph Routh,Terrence Hayes,Cayle Tern
Timur Ender,,,,,
Candace Avalos,Steph Routh,Jamie Dunphy,Thomas Shervey,,
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Candace Avalos,Jamie Dunphy,David Linn,Loretta Smith,Steph Routh,
Noah Ernst,Timur Ender,David Linn,,,
Jamie Dunphy,,,,,
Terrence Hayes,Joe Furi,Noah Ernst,,,
Deian Salazar,,,,,
Loretta Smith,Terrence Hayes,Noah Ernst,Candace Avalos,Doug Clove,Peggy Sue Owens
Jamie Dunphy,Steph Routh,Timur Ender,,,
Jamie Dunphy,Loretta Smith,Terrence Hayes,Timur Ender,Deian Salazar,Steph Routh
David Linn,,,,,
Noah Ernst,Timur Ender,Joe Furi,Jamie Dunphy,Doug Clove,Candace Avalos
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,,
Steph Routh,Jamie Dunphy,Loretta Smith,Michael (Mike) Sands,David Linn,
Joe Furi,Joe Allen,Doug Clove,Noah Ernst,Loretta Smith,Jamie Dunphy
Loretta Smith,Timur Ender,Jamie Dunphy,,,
Loretta Smith,Terrence Hayes,Candace Avalos,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Steph Routh,Candace Avalos,Terrence Hayes,Loretta Smith,Timur Ender,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,,
Jamie Dunphy,Timur Ender,Candace Avalos,Cayle Tern,,
Loretta Smith,Terrence Hayes,,,,
Terrence Hayes,Loretta Smith,David Linn,Doug Clove,,
Steph Routh,Timur Ender,Candace Avalos,Jamie Dunphy,Cayle Tern,
Steph Routh,Jamie Dunphy,Thomas Shervey,Loretta Smith,Joe Furi,Deian Salazar
Noah Ernst,Joe Allen,Cayle Tern,Doug Clove,Deian Salazar,Jamie Dunphy
Candace Avalos,Cayle Tern,Jamie Dunphy,Steph Routh,Timur Ender,Terrence Hayes
Doug Clove,,,,,
Noah Ernst,Doug Clove,,,,
Noah Ernst,Candace Avalos,Terrence Hayes,Loretta Smith,Doug Clove,
Candace Avalos,Jamie Dunphy,Steph Routh,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Joe Allen,Timur Ender,Cayle Tern,Candace Avalos,Loretta Smith,Jamie Dunphy
Candace Avalos,Terrence Hayes,Joe Allen,Deian Salazar,Jamie Dunphy,Loretta Smith
Candace Avalos,Jamie Dunphy,Loretta Smith,Terrence Hayes,Noah Ernst,Steph Routh
Loretta Smith,Timur Ender,Candace Avalos,,,
Noah Ernst,Joe Furi,Terrence Hayes,,,
Michael (Mike) Sands,Terrence Hayes,Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh
Candace Avalos,Deian Salazar,,,,
Steph Routh,Jamie Dunphy,Terrence Hayes,David Linn,Michael (Mike) Sands,Timur Ender
Deian Salazar,Noah Ernst,Doug Clove,Terrence Hayes,Loretta Smith,Jamie Dunphy
Timur Ender,Doug Clove,Michael (Mike) Sands,Cayle Tern,Joe Allen,Noah Ernst
Peggy Sue Owens,Candace Avalos,Jamie Dunphy,Loretta Smith,Steph Routh,Cayle Tern
Peggy Sue Owens,,,,,
Peggy Sue Owens,Jamie Dunphy,Joe Furi,Deian Salazar,Thomas Shervey,Terrence Hayes
Candace Avalos,Cayle Tern,Timur Ender,,,
Thomas Shervey,Loretta Smith,,,,
Timur Ender,Terrence Hayes,,,,
Loretta Smith,,,,,
Michael (Mike) Sands,,,,,
Noah Ernst,,,,,
Deian Salazar,Doug Clove,Terrence Hayes,Thomas Shervey,Noah Ernst,Joe Allen
Candace Avalos,Joe Allen,Jamie Dunphy,Terrence Hayes,,
Loretta Smith,Peggy Sue Owens,Candace Avalos,Terrence Hayes,Cayle Tern,Timur Ender
Michael (Mike) Sands,,,,,
Michael (Mike) Sands,Jamie Dunphy,Steph Routh,Timur Ender,David Linn,Loretta Smith
Thomas Shervey,,,,,
Noah Ernst,Candace Avalos,David Linn,Doug Clove,Loretta Smith,Steph Routh
Timur Ender,Candace Avalos,Terrence Hayes,Michael (Mike) Sands,Deian Salazar,Steph Routh
Terrence Hayes,Noah Ernst,Candace Avalos,,,
